PNY,RTX 4090 XLR8 Gaming,2.23,2.52,Ada Lovelace,DLSS 3,GDDR6X,24,1008,2022-10-12
PNY,RTX 4080 XLR8 Gaming,2.21,2.51,Ada Lovelace,DLSS 3,GDDR6X,16,716.8,2022-11-16
PNY,RTX 4070 Ti XLR8 Gaming,2.31,2.61,Ada Lovelace,DLSS 3,GDDR6X,12,504,2023-01-05
PNY,RTX 4060 Ti XLR8 Gaming,2.31,2.54,Ada Lovelace,DLSS 3,GDDR6,8,288,2023-05-24
PNY,RTX 3060 Ti Uprising,1.41,1.67,Ampere,DLSS 2,GDDR6,8,448,2020-12-02
PNY,RTX 2060 Super,1.47,1.65,Turing,DLSS 1,GDDR6,8,448,2019-07-09
ASUS,ROG Strix RTX 4090 OC Edition,2.23,2.58,Ada Lovelace,DLSS 3,GDDR6X,24,1008,2022-10-12
ASUS,ROG Strix RTX 4080 OC Edition,2.21,2.55,Ada Lovelace,DLSS 3,GDDR6X,16,716.8,2022-11-16
ASUS,TUF Gaming RTX 4070 Ti,2.31,2.64,Ada Lovelace,DLSS 3,GDDR6X,12,504,2023-01-05
ASUS,Dual RTX 4060 Ti,2.31,2.54,Ada Lovelace,DLSS 3,GDDR6,8,288,2023-05-24
ASUS,ROG Strix RX 7900 XTX,2.3,2.5,RDNA 3,FSR 2,GDDR6,24,960,2022-12-13
ASUS,TUF Gaming RX 7800 XT,2,2.5,RDNA 3,FSR 2,GDDR6,16,624,2023-09-06
ASUS,ROG Strix RX 6700 XT,2.32,2.58,RDNA 2,FSR 2,GDDR6,12,384,2021-03-18
ASUS,TUF Gaming RX 6600 XT,2.35,2.58,RDNA 2,FSR 2,GDDR6,8,256,2021-08-11
